leitura_inic_n1,leitura_final_n1,diferenca_tempo_n1
1497307519864,1497307520586,722
1497307529306,1497307529841,535
1497307536545,1497307537073,528
1497307545623,1497307546144,521
1497307554338,1497307554868,530
1497307668558,1497307669094,536
1497307677886,1497307678424,538
1497307686322,1497307686858,536
1497307693751,1497307694279,528
1497307701923,1497307702447,524
1497307848916,1497307849443,527
1497307855522,1497307856044,522
1497307862884,1497307863416,532
1497307870741,1497307871263,522
1497307877807,1497307878330,523
1497308024687,1497308025204,517
1497308032587,1497308033107,520
1497308042309,1497308042833,524
1497308050167,1497308050687,520
1497308058291,1497308058806,515
1497386990522,1497386991201,679
1497386999038,1497386999582,544
1497387009102,1497387009636,534
1497387015734,1497387016255,521
1497387022708,1497387023227,519
1497387131210,1497387131738,528
1497387140280,1497387140796,516
1497387146730,1497387147264,534
1497387153812,1497387154330,518
1497387160889,1497387161423,534
1497387272063,1497387272581,518
1497387277918,1497387278424,506
1497387284049,1497387284574,525
1497387291265,1497387291790,525
1497387297532,1497387298054,522
1497387439725,1497387440237,512
1497387447105,1497387447611,506
1497387453401,1497387453909,508
1497387460067,1497387460578,511
1497387467840,1497387468349,509
1497470851149,1497470852280,1131
1497470857918,1497470858449,531
1497470863873,1497470864412,539
1497470870556,1497470871092,536
1497470877517,1497470878054,537
1497470986802,1497470987321,519
1497470993484,1497470994006,522
1497470999526,1497471000037,511
1497471006731,1497471007264,533
1497471013818,1497471014333,515
1497471117846,1497471118356,510
1497471124132,1497471124641,509
1497471130475,1497471130989,514
1497471137484,1497471138014,530
1497471148906,1497471149427,521
1497471257047,1497471257568,521
1497471269809,1497471270327,518
1497471277755,1497471278273,518
1497471285220,1497471285730,510
1497471294596,1497471295120,524
