leitura_inic_n5,leitura_final_n5,diferenca_tempo_n5
1497309477889,1497309478575,686
1497309485002,1497309485521,519
1497309490664,1497309491196,532
1497309497167,1497309497686,519
1497309503947,1497309504470,523
1497309511057,1497309511591,534
1497309517380,1497309517897,517
1497309523829,1497309524357,528
1497309531705,1497309532247,542
1497309538302,1497309538823,521
1497309544329,1497309544878,549
1497309550807,1497309551348,541
1497309557451,1497309557985,534
1497309564484,1497309565003,519
1497309571601,1497309572122,521
1497309578171,1497309578687,516
1497309585422,1497309585940,518
1497309600420,1497309600935,515
1497309607843,1497309608358,515
1497309615568,1497309616079,511
1497389059267,1497389059944,677
1497389066340,1497389066868,528
1497389071890,1497389072413,523
1497389077781,1497389078316,535
1497389084037,1497389084553,516
1497389090332,1497389090856,524
1497389096719,1497389097234,515
1497389103372,1497389103903,531
1497389109854,1497389110369,515
1497389116338,1497389116853,515
1497389122726,1497389123249,523
1497389128889,1497389129410,521
1497389135566,1497389136100,534
1497389142038,1497389142554,516
1497389149162,1497389149700,538
1497389156349,1497389156877,528
1497389163223,1497389163738,515
1497389170483,1497389171000,517
1497389178917,1497389179431,514
1497389185653,1497389186178,525
1497472502795,1497472503479,684
1497472509311,1497472509853,542
1497472516263,1497472516778,515
1497472522422,1497472522962,540
1497472530348,1497472530872,524
1497472537073,1497472537600,527
1497472543865,1497472544382,517
1497472550959,1497472551492,533
1497472557867,1497472558383,516
1497472565198,1497472565735,537
1497472572205,1497472572728,523
1497472579053,1497472579570,517
1497472585986,1497472586522,536
1497472595134,1497472595655,521
1497472602660,1497472603180,520
1497472611163,1497472611683,520
1497472620477,1497472620994,517
1497472628134,1497472628667,533
1497472636035,1497472636568,533
1497472644282,1497472644821,539
