leitura_inic_n6,leitura_final_n6,diferenca_tempo_n6
1497309621465,1497309621986,521
1497309624528,1497309625052,524
1497309627973,1497309628486,513
1497309632047,1497309632583,536
1497309635059,1497309635580,521
1497309638029,1497309638568,539
1497309640849,1497309641389,540
1497309643796,1497309644344,548
1497309646943,1497309647479,536
1497309649818,1497309650333,515
1497309652530,1497309653042,512
1497309655215,1497309655758,543
1497309658299,1497309658824,525
1497309661355,1497309661887,532
1497309664506,1497309665048,542
1497309667291,1497309667821,530
1497309670397,1497309670920,523
1497309673395,1497309673920,525
1497309676510,1497309677031,521
1497309679663,1497309680195,532
1497389189773,1497389190293,520
1497389194098,1497389194629,531
1497389197818,1497389198336,518
1497389199343,1497389199880,537
1497389202854,1497389203370,516
1497389204402,1497389204919,517
1497389214691,1497389215210,519
1497389218033,1497389218553,520
1497389220992,1497389221515,523
1497389224223,1497389224756,533
1497389227260,1497389227790,530
1497389230058,1497389230590,532
1497389233201,1497389233710,509
1497389235892,1497389236405,513
1497389239013,1497389239527,514
1497389242446,1497389242985,539
1497389245364,1497389245873,509
1497389248315,1497389248843,528
1497389251269,1497389251807,538
1497389254072,1497389254606,534
1497472652814,1497472653334,520
1497472656198,1497472656741,543
1497472659144,1497472659685,541
1497472662445,1497472662962,517
1497472665501,1497472666013,512
1497472668408,1497472668930,522
1497472671846,1497472672394,548
1497472675314,1497472675828,514
1497472678303,1497472678836,533
1497472681208,1497472681729,521
1497472684278,1497472684789,511
1497472687144,1497472687671,527
1497472690394,1497472690921,527
1497472693583,1497472694092,509
1497472696645,1497472697182,537
1497472699805,1497472700326,521
1497472702933,1497472703462,529
1497472706391,1497472706904,513
1497472709361,1497472709880,519
1497472712400,1497472712928,528
